,product,title,rating,body
0,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good phone,4,Camera quality all overall good but only nagative poin is audio jack not available and battery only 4500 quick drain
1,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good product,4,"Over all good product. But I want to upgrade this to one plus 10 R , but Amazon customer service is refusing to return the product. First mobile was have a sim issue the replaces with new one. The one is good. But still I wanna upgrade to 10R."
2,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Oneplus,4,So far I'm enjoying it. I hope this will be a great devise.
3,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Ok,4,Phone is good but camera is not that good according to its price and secondly it's Bluetooth audio output is not good even with high-end headphones
4,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Not upto mark,4,Battery drain very fast ..camera quality is normal only fast charging is good .. price ve highry
5,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good phone,4,Battery charging is superfastNo lagging but fingerprint scanner seems bit slow compare to my previous phone Motog
6,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Super phone ho sakta tha,4,jitani jaldi battary charg hoti h utna jaldi khatam b hoti h. baaki sab thik h.
7,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",बैटरी ड्रेन बहुत जल्द हो रही है ।,4,हमने इसे  अच्छी बैटरी बैकप के लिए खरीदा था जो इस मैं नही है ।
8,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery capacity was too bad when it is in locked but still battery was drying,4,Very fast
9,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery is not service,4,Battery is not service camera is good
10,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Amazing,4,This phone  performance is next levelCamera Good. 50mp..Battery charging time 0 to 100 25 minute supervooc 80 watt charger.. Over all phone is good and backside look really eyekeching. But fone is not  good for gaming.
11,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good product 👍👍👍,4,Good product 👍👍👍👍
12,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Camera and touch quality is super,4,Camera is good and battery drains fast.
13,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Expected better Battery,4,"Overall it's a good mobile phone. The speed and interface is all good but expect battery to last long. Not much, i always keep it in battery saving mode and work for about 18-20 hours on normal use.. not many themes available. Samsung is better in that sense.. there are many wallpapers and themes available. Display is clear and camera is also good! Overall okay."
14,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery Bakup not good,4,Apne app hi battery drain hoti he
15,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good Phone in 30k price range,4,"Very Good Phone in the 30K range with a Good camera and night mode is so good, speakers and battery life also so good with a  premium feel"
16,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Buy it,4,Overall performance good but battery life not good.
17,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Overall good product,5,"Writting this after user of 4 months, camera is really great in this Upper mid segment.Sound such a great like fall in love in just a couple of seconds music.Display is great even with 90hz you will not see any lag.Battery is quiet decent, 1 day with mid usage, 9-10 hrs with slight heavy usage and if you use with 5G you need to charge it twice a day because i am using it with Jio5G and its giving me 6-7hrs backup only with mid usage with continuous 5G data enabled.Charging Speed is great. Can give 100/100 point.Build Quality is superb.Finger-print is super fast.Mic and loud speaker is also great."
18,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Gorgeous Look,4,Gorgeous Look and Stunning Display
19,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery low,4,Over all good phone but issue in the battery dry in half day 😞 very difficult to use full day and on travel time.. need to carry power bank 😭
20,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Awesome Camera 📸,4,"Phone performance is good, bettery draining, overall Good phone under 30k💞"
21,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",It's 8 gb not working like 12gb,4,Good but not so fast as I think 12gb 256 it's ordinary like 8gb .
22,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battary backup is not good,4,Battry backup is not good
23,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Very much beats in same range phones.,4,Worthy. A better choice in any ways. By Vi## or O#po.
24,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Value for money 😗👍,4,Camera 3.9/5Battery 3.9/5Speaker 4.0/5Parformance 4.1/5Display 4.4/5Value for money hai guys butAgar aap gameing ke liye le rahe ho to main aapko kahunga aap iQoo neo 6 lijiyega isi price me our naam chahiye to one plus hi le lo koi dikkat nahin hai 😗
25,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Very nice and smooth work,4,Like
26,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery draining,4,Battery draining is biggest issue except this it is great cell phone.
27,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good one among the Nord phones.,4,#camera is good especially in raw format but it's taking too much exposure everytime.#camera needs to have a better software update so as to make a photo looks more realistic .#Battery is good though..we cannot expect much with a 4500 mah battery.#Phone looks classy.
28,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Cover,4,Cover is not good quality
29,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Best 5g mobile,5,I am using this phone since I brought this and trust me this device is best in this budget
30,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice product,5,I'm using it for about 2 months now.Price worth performance and feels almost flagship.
31,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Great,4,Great
32,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Phone features,3,Design & build quality is good according to price range Camera overall goodFeatures are also very smoothJust now I received my phone Display & performance is also good for normal usage (less heavy uses)
33,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)","Battery drain very fast,",4,Finger print goodBattery very badCamera quality is good
34,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",It's good one but as compared to the cost is too much and battery 🔋 should be more than 5000 above.,4,I am using this phone from last 1 month almost everything is fine Except Battery capacity  it should be 5000 above. Battery backup is not very good as compared to the price. And the features of the phone are fine but not good according to cost.
35,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery training bahut jyada ho raha hai Kuchh matlab Nahin Nikal Raha Hai Lekar,4,"The media could not be loaded.
                



 Battery quality ekadam ghatiya type ka hai Kuchh matlab Nahin ho raha hai ful payment Karke bhi camera quality Achcha hai fingerprint bhi achcha hai khali battery quality ekadam ghatiya hai Humne Koi EMI per Nahin Liya Hai Humne ful payment card Se Kiya Hai Aur matlab kya Nikal Raha Hai Hamen yah replace karna pad raha hai"
36,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",That's an amazing,4,it's an really never settle product
37,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Not bad,4,"Even though it's 80W,it chargers in 30min. Back camera is not that good even it's Sony camera. Selfie cam is very good. But,OnePlus feel is good"
38,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good phone for this budjet,4,All good
39,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Balanced smartphone for normal user,4,"Smooth UI  ,No bloatware decent battery backup charging is very fast (35min) and great back camera Sony IMX 766 captures good quality photos,8 mp ultrawide has detailing issue, front camera is also very good"
40,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Looking good,5,Looking good battery avarage camera ok display good
41,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",बैटरी लाइफ खराब है बहुत जल्दी खत्म होती है,4,बैटरी लाइफ खराब है बहुत जल्दी खत्म होती है
42,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Slight compromise in the OnePlus experience,4,"I have used the OnePlus 3t earlier and was blown away by the experience. The features, the customisation ability, and everything was top notch. In fact OnePlus had the dark theme way before Android offically launched it for the Google pixel.Had this been some other xyz brand, I'd have been blown away, but since this is a OnePlus, I expected a lot more. Regarding hardware, it's only the battery that I feel needs improvement.But the software was a huge step down. I mean since when did removing features started being called an upgrade? Some very cool features like the car locator widget in the OnePlus shelf, displaying time with seconds in the status bar, have been removed. The shelf has moved to the top right corner, the Google news feed on the left side of home screen cannot be disabled, and the camera doesn't support full screen video recording. Moreover, one of the most significant feature introduced in Android 10, the free form popup window has been removed as well. The Oxygen OS 12 update is more of a downgrade than an upgrade."
43,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery drains very fastly,4,Battery draining very fast
44,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Mobile nice,3,When using battery so much heat and drain fast also with out play game .. when normal useing camera good front back camera only heat issue when charge and useing charger adapter also so much heat till mobile fully charge 100/ when we use battery save mode that time also drain battery and with out battery's save mode also I thik this is not a gameing mobile only for heatingmobile  u can toast bread and boil water  that much heat he  have in battery ..after some time it will cool down battery if don't use if u leave that time onlyWhen useing only it will take so heat i don't know why ..All others are ok cameras front back and 100%Battery Backup2% becoz so much heat when use mobile and charger both heat produced.. wasteAnd when recording call other also can hear and that person know he started rec Google dilear waste i don't know why OnePlus not useing own dilearapp everything is nice but battery so heat even can person can't use if he want to do something in  important work . Battery save mode also waste for this .. every day we need to charge .. wasted don't buy  if u need in furture .. or u think .Flash - flash light both are not working only one flash light working if u on torch and take video or photos.  Photos and videos are good captureing if u camera lover it will good but heat issue.. Ithink after some month or year  battery will not hold  charge till 100 i think 🔋 will not hold charge we need to change battery in furture till 5g come what happen we don't know it will survive or not dont know  to c if any update come ..or battery week .. waste i request to OnePlus don't made this type of mobile for stolen of high prise selling to  customer  u makeing this type of mobiles if 6g/7g mobiles come don't know what type mobile OnePlus launch ..😞My rating is this 2star only sorry pls test before when u launching the mobile for customer can buy currect right mobile to use . That's allDay time camera is best both front and back finger print read fast and store and camera quality ok but not that much ..
45,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",After sales is pathetic,3,"I recently bought a Oneplus Nord 2T. Unfortunately, it slid out of my hands one day, and to my astonishment, the screen broke. I applied for replacement after quickly looking out the approved service facility because this breakage is not covered by the guarantee. Even 15 days later, the service centre claims they still don't have the spare. I'm really frustrated that a well-known company like Oneplus can't provide spare parts quickly."
46,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nord 2t,5,One of the best one plus mobile ever..
47,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Must phone,5,Phone is awesome but i thnks battery in not up to the mark  i think
48,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery could be better,4,Battery could be better. Front camera is not up to the mark. Rare camera is good. Everything else is good.
49,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Must buy  i will suggest in under 30k,5,Camera is fantasticCharging is full in 30to 40minBattery life is good 👍 without playing game's it'will come one dayI must recommend this mobile under 30k
50,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Not worth for Price,3,"its average phone, battery is not that good, not coming for 1 day at least.but its not worth for the price what they are selling!"
51,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good features,5,For Normal personal use Good enough
52,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good product as overall.....,4,"Nice one as it is handy to use, liked screen refresh rate much better than other phones, charging and battery backup is also good👍"
53,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Excellent product,5,Excellent product by OnePlus. very smoothly functioning everything.. overall great experience with OnePlus and Amazon for great service.. thanks a lot.. must buy..
54,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Phone is performance is good except battery  heat is up while charging,4,camera quality is good. added auto briteness more. OS system is awesome. no external SD card feature. 5G sim supported.Battery is heat up more while charging time.
55,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Working good.,5,Camera quality is good. Fast charging but battery life is low.
56,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Such a nice camera,5,
57,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",SUPER,5,NICE FENTASTIC
58,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Best performance,5,Nice bro
59,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Satisfy the expectations,5,
60,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Excellent phone,4,"Great battery life, super charge within minutes, excellent camera quality, good touch screen, loved the phone. Timely delivery. Overall an excellent buy."
61,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good product.,5,
62,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Awesome phone,5,
63,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Best,5,
64,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Camera features should be much better at this cost..,4,"Camera features should be more like Micro capture option,"
65,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Feed back,5,I like
66,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery should be atleast 5000 MH,4,"I only dislike battery, should have been 5000MH"
67,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",The SuperVooc charger is of 50Watts not 80Watts as the product description tells,4,"I thought the charger is of 80W but it is of only 50Watts,that is really disappointing for me. Not sure if same is the case with others"
68,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good product,5,Good
69,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",So guys I will tell you about my whole experience with OnePlus Nord 2T in Hindi!,4,Build quality perfect h premium feel hota h phone only because of glass backLight weight h or kafi handy phone h full day bhi used kroge to bhi hath ni pain krege...Sbse best chez merko iski charging speed lgti approxb30 min me charge ho jata h full...Camera bhi mst 1 dam bhdia photo / vedio ati h camera 1 dam superb hai...Gaming / normal uses / camera uses / content consumption / reels making / all rounder type phone h mst outcome h iska sb cheez me...Kch cheze disappointed h iski like jb call recorder kro to madam bolti h or samne wali ko pata Lag Jata h...Or jb charge hota h phone to charger heat hota h...Or battery bhut jldi jldi drain hori h...Like raat me 3/4 percentage drain ho jati h net wagera sb off hone ke baad bhi....Baki koi dikkat ni h sb mst h....
70,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",A Good Purchase,5,Pros:1. Superb display2. Speakers3. Fingerprint reader4. Speed5. Look and feel6. Charger (80w)7. Clean OSCons:1. Expected a better front as well as rear camera at this price2. Battery capacity should have been more3. Oxygen OS is good but not as good as One UI which is available in mid-range Samsung phones (A series and M series)4. OS and Security updates should be provided for at least 3 and 4 years respectively.5. Display should support refresh rate up to 120 hz at this price point.
71,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery 🔋 life Is good,5,Color is good.Battery life good.Camera quality low..
72,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",I consider upto 35k also please buy this mobile.,5,"1. Superb Display Super Quality2. Oxygen OS is very Fast3. Processor is very Fast and Accurate4. Stereo speakers are very Excellent5. Fast charging of 80w with high protection6. Ram is Excellent7. Cameras are really Good8. Finally, 3 years Android updates and 4 years security updates.I like this mobile comparing to remaining mobiles."
73,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",It's wow,5,Nice experience.. premium quality and finally happy with this
74,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Poor battery,4,Just ok
75,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Awesome Phone with Below average battery life,4,"I have been using this phone for more than 1 month. I am not able to find any flaws in the phone except for the battery life. Everything is so smooth including the UI , Best camera quality,  Great fingerprint sensor. Exceptional performance. Charging is also super fast with charging time being a maximum of 30 mins to go from 0 to 100%.But it really needs improvement in the battery backup sector as the battery barely lasts 1 day and sometimes you might need to charge the phone twice in a day. I am thinking about vising the customer service center but i don't think thats gonna help either because everyone seems to be facing the same problem. Otherwise i would give this phone a full 5 stars."
76,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Worth phone,4,
77,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",One plus nord 2 ce,5,Mobile is so good.smooth and easy.ram is good.i like it
78,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Overall good product.,4,For this price level battery should be within 5000mh and display should be 120hrz.Camera is GoodDisplay is GoodTouch sensitivity is nice.Battery is Enough for one day usesProduct finish good Glossy back glassGood to see again the slider for vibration and silent.Sound is Good enough with dual audio system.Overall is Good product.This comment is after use 30 days
79,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Overall good phone,4,Battery does not last longCamera is goodCharging is fast and compensates the battery drain over the dayOverall Good
80,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Superb!,4,"The media could not be loaded.
                



 At this price point it's a really good smartphone with a good brand value and most important point is that it has a alert slider. OnePlus have discontinued alert slider from the budget smartphones after this one. OnePlus Nord 2t 5g is really a good device under 30,000."
81,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Perfect nord2t,5,Perfect nord 2t
82,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good phone for daily use.. Camera is fantastic. But bluetooth is not getting connected,4,"Pros: both rear and front cameras are excellent, battery back is avarage, speakers are also very pretty.Cons: bluetooth issue is a big problem in nord 2 and 2t as well. It doesn't get connected with headphones or speakers via Bluetooth. This is something we can't expect from a brand like one plus at least in this price range.Over all I will give 4 out of 5."
83,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice Phone,5,I bought it for my wife and she likes it . I like its form factor. Mobile is light and can be used by single hand.
84,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Night shot,5,Awesome night photography🥰🥰
85,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",I think it's a very good phone in this budget.,4,"The media could not be loaded.
                



 I have used this phone for 1 month. Now I am reviewing it. It have a very nice processor. And it can be best for gaming and other hard works like video rendering. It can compete even iPhone 11.Even It supports 5G while iPhone 11 doesn't which cost almost 1.5 to 2 times. I have compared their cameras also both are almost equal. But it have smaller battery capacity than any other phone in this price range. But I have a great display which gives you a wonderful mixture of colours and have refresh rate of 90hz. I have attached some pictures and slow motion video taken by this phone."
86,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Protection glass is attached in new phone,3,Use easy clarity ok phone 👍
87,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good phone,5,"Nice phone, good performance"
88,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",very good,5,very good
89,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Ek no,5,Ek no
90,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Amoled display is good,5,Good one
91,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Awesome mobile.,5,Awesome mobile.
92,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good performance but worst camera,4,"Performance is really good. Display is good too. Just 90hz refresh rate doesn't make any difference than 60hz. The only hit and miss is camera. Picture quality is worst. No sharpness on images, details are missing. HDR is ok. AI features are ok."
93,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Excellent build and nice camera,4,"This phone is amazing to use. Really good build, nice to hold, amazing camera even in low light. No issues with day to day activities. Good display under the sun. Good  and loud speakers. Netflix is treat to watch on this phone. Full day battery back up with above average usage."
94,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Very good,5,Very good
95,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice phone!,4,I have used MI for quite some time and moving to one plus is a good experience so far. I bought it during Diwali sale and my experience in last one month is very good.
96,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good,3,Good
97,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",W,5,Excellent
98,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Very good,5,Nice product
99,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Should have better battery backup,3,Hours for only browsing continuously.(3/5)Camera is okiesh. (3.5/5)Charging is very fast(4.5/5)Gaming experience 3/5My overall rating is 3/5
100,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good,4,Good
101,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Thik he hai,4,Bas 90 hz refresh rate se upar rehta to aur acha hota.. aur front camera me v imx 766 hona chahiye tha ya 612.Baaki ab le liye hai to rakhna he hai.Thik hai phone premium look hChalta v smooth hCall confrence krne pr kuch 2-3 second k liye blank ho jata hai pta nhi kyu.Call recording me sbko suna deta h ki record ho rhi h ye bakwas lga mujhe.Aur kya btau. Screen guard lgawa lena pre apply wala jyda der chalega nhi.Charger heat hota h bhut tez.Phone v kavi kvi heat ho jata h .Heavy usese k liye nhi hai.Charging speed jaise batayi ja rhi hai waisi hai n mai ekdum low krke charge kiya to 35 minutes le liya.Esko 25 -27 minutes se jyda nhi jana chahiye.Mera 12 /256 varient h. Aur yahi Lena sahi hai kyuki 128 wala jaldi bhar jayega kyuki 5-6 mb me ek pic ati h. Aur system 25 gb rehta he hai aur apne apps mila kr 40 gb aise he ho jayega aur game wagera koi le liye to 60 gb tak easily chala jayega.Baaki sab thik hai use ho rha hai OS 15 v milta to acha rehta but company de nhi rhi.Bad news for us.
102,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Awesome camera.,5,Camera. Battery stand by
103,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery backup is not sufficient for one day use,4,Look wise good but battery issue
104,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Display and fast charging .,4,The best thing about this phone is display and fast charging .  The best I would prefer
105,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Best experience OnePlus,5,Best experience OnePlus
106,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",It's my new favourite phone,5,"I've switched to OnePlus and it's so much better! I suggest this product to everyone who asks ""what phone should I get?"""
107,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Camera is nice,5,Love this 💞
108,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Camera is very nice,5,Qualiti is good
109,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Great 👍,5,"Battery life is questionable, after usage for over 4 months. Otherwise, overall great performance and excellent quality."
110,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice,5,Nice
111,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Faced no issue yet,5,I am using it for 4 months and haven't faced any issue yet.Can be purchased but please go acc to ur requirements.
112,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Great Phone Oppo ( Not One Plus),4,"The Phone Is Great at this range, all the specs are good & some are even the best in this range. But only one thing i did not like about this phone is the feel of One Plus which it used to give. The phone feels premium & worth buying but the User Interface of One Plus is no more inside feels like you are using an Oppo/Vivo Phone in terms of UI interface. Other than that please watch a professional  youtuber's review before buying this to get the things cleared."
113,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battary life,5,"I like camera quality and battery life is very important but that's not good performance please improve battery life atleast 3,4 hours not come"
114,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice product,5,Nice product
115,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Balanced phone by OnePlus,4,"The media could not be loaded.
                



 Over-all balanced phone.90hz display is good , but OnePlus should give 120hz in display in this budget.Nice Dolly Atmos speakers andFast charger.Under 30k Nice Phone.It's not recommended for Gamers .You can play basic games not heavy ."
116,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Best phone,4,Best camera
117,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Expensive phone with good enough features,4,"Upgraded from a Samsung phone and got this phone in a very good exchange deal.Based on one-day usage of the phone, I find its look and feel is premium, heavier than my Samsung though with a good processor and battery charging that works like a charm. The biggest cons are it gets heated and the battery gets drained quickly although the fast charging makes up for it. Camera, Unlock feature, Alert slider, Lifestyle modes, etc. are all good enough but the phone is little pricey compared to others in this range for its specifications. There seems to be a software bug in the closing all apps feature which sometimes won't kill the current app. I hope with software updates the heating, battery drain, etc issues get resolved.Will update review on usage.##Update after 2 months usage##The phone is really good. I had not used the camera much earlier but it clicks really nice photos. Battery charging is awesome. And the close all apps bug, heating issues have been resolved after software update. Not tested the phone for gaming much but it does get heated then."
118,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",One plus Nord 2T,5,One of the best budget phone available in India !!
119,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery backup is not up to the mark,4,Conclusively at this price of mobile is good but battery is not up to the mark
120,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Ok,4,Ok
121,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Osm product,5,"I like fingerprint reader, battery life nd camera quality is best"
122,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good but not OnePlus level,4,"I've been using it for a almost two weeks now.I'm using it for my official phone so I mostly have my work related and finance related apps. No games. Here's my point of view.Pros:Battery life is good. Easily lasts full day on normal usage.Touch and feel is great. Looks and feels premiums.Processor can easily handle multitasking and frequent app shiftingMinimum bloatware.Sound quality is great.Haptic feedback is also good.Cons:It's UI feels more like Realme than OnePlus, which is a big let down for me. It's first time I had to use a third party launcher.Selfie camera also seems weirdly similar to a Realme camera than a OnePlus."
123,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Just loving it!!!!,5,Camera quality is just wow!!!!Battery life should be improved
124,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",I like very much this phone like camera quality design fast charging etc...,4,"Ya I like it design , fingerprint, fast charging everything also"
125,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Wonderful camera,5,Nothing bad so far
126,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",good,5,enjoyed it
